sample,morpho_class_old,morpho_class
bgv006129,sp_3,sp_montane
bgv006167,sp_pe_inter-andean,sp_montane
bgv006183,sp_pe_inter-andean,sp_montane
bgv006186,sp_pe_inter-andean,sp_montane
bgv006187,sp_pe_inter-andean,
bgv006188,sp_3,
bgv006192,sp_ec,sp_ec
bgv006195,sp_ec,sp_montane
bgv006196,sp_ec,sp_pe
bgv006208,sp_pe_inter-andean,sp_montane
bgv006211,sp_pe_inter-andean,sp_montane
bgv006282,sp_3,
bgv006327,sp_pe_1,sp_pe
bgv006329,sp_pe_1,sp_pe
bgv006332,sp_pe_1,sp_pe
bgv006333,sp_3,sp_montane
bgv006335,sp_pe_1,sp_pe
bgv006336,sp_pe_1,sp_pe
bgv006337,sp_pe_1,sp_pe
bgv006339,sp_pe_1,sp_pe
bgv006340,sp_pe_1,sp_pe
bgv006341,sp_pe_1,sp_pe
bgv006343,sp_3,
bgv006347,sp_pe_1,sp_pe
bgv006348,sp_pe_1,sp_pe
bgv006349,sp_pe_1,sp_pe
bgv006352,sp_pe_1,sp_pe
bgv006353,sp_pe_1,sp_pe
bgv006354,sp_pe_inter-andean,sp_pe
bgv006355,sp_pe_1,sp_pe
bgv006356,sp_3,
bgv006357,sp_3,sp_montane
bgv006363,sp_3,
bgv006368,sp_3,sp_montane
bgv006370,sp_pe_1,sp_pe
bgv006398,sp_pe_1,sp_pe
bgv006406,sp_pe_1,sp_pe
bgv006413,sp_3,
bgv006426,sp_pe_1,sp_pe
bgv006452,sp_pe_1,sp_pe
bgv006454,sp_pe_1,sp_pe
bgv006457,sp_pe_1,sp_pe
bgv006458,sp_3,
bgv006459,sp_3,
bgv006461,sp_3,
bgv006462,sp_pe_1,sp_pe
bgv006464,sp_3,
bgv006465,sp_3,
bgv006466,sp_3,
bgv006467,sp_3,
bgv006468,sp_ec,
bgv006469,sp_pe_1,sp_pe
bgv006470,sp_pe_1,sp_pe
bgv006471,sp_pe_1,sp_pe
bgv006472,sp_ec,sp_montane
bgv006473,sp_pe_1,sp_pe
bgv006474,sp_pe_1,sp_pe
bgv006476,sp_3,
bgv006477,sp_3,
bgv006478,sp_3,sp_montane
bgv006485,sp_pe_1,sp_pe
bgv006492,sp_pe_1,sp_pe
bgv006493,sp_pe_inter-andean,sp_montane
bgv006498,sp_pe_inter-andean,sp_montane
bgv006499,sp_ec,sp_ec
bgv006500,sp_pe_1,sp_pe
bgv006504,sp_3,sp_montane
bgv006508,sp_ec,sp_montane
bgv006510,sp_pe_inter-andean,sp_montane
bgv006514,sp_ec,sp_ec
bgv006515,sp_3,
bgv006608,sp_pe_1,sp_pe
bgv006609,sp_pe_1,sp_pe
bgv006638,sp_pe_1,sp_pe
bgv006640,sp_pe_1,sp_pe
bgv006642,sp_pe_1,sp_pe
bgv006645,sp_pe_1,sp_pe
bgv006657,sp_ec,sp_montane
bgv006660,sp_pe_inter-andean,sp_montane
bgv006661,sp_pe_1,sp_pe
bgv006662,sp_3,
bgv006690,sp_pe_inter-andean,sp_montane
bgv006691,sp_pe_inter-andean,sp_montane
bgv006712,sp_pe_inter-andean,sp_montane
bgv006778,sp_ec,sp_ec
bgv007060,sp_ec,sp_ec
bgv007063,sp_ec,sp_ec
bgv007065,sp_ec,sp_ec
bgv007066,sp_ec,sp_ec
bgv007068,sp_ec,sp_ec
bgv007069,sp_ec,sp_ec
bgv007070,sp_ec,sp_ec
bgv007072,sp_ec,sp_ec
bgv007073,sp_ec,sp_ec
bgv007076,sp_ec,sp_ec
bgv007081,sp_ec,sp_ec
bgv007085,sp_ec,sp_ec
bgv007089,sp_ec,sp_ec
bgv007095,sp_ec,sp_ec
bgv007100,sp_ec,sp_ec
bgv007103,sp_ec,sp_ec
bgv007104,slc_ma,
bgv007105,,
bgv007106,sp_ec,sp_ec
bgv007109,,
bgv007111,sp_ec,sp_ec
bgv007112,slc_ma,
bgv007113,sp_ec,sp_ec
bgv007118,sp_ec,sp_ec
bgv007123,sp_ec,sp_ec
bgv007126,sp_ec,sp_ec
bgv007135,sp_ec,sp_ec
bgv007137,sp_ec,sp_ec
bgv007138,sp_ec,sp_ec
bgv007145,sp_ec,sp_ec
bgv007148,sp_ec,sp_ec
bgv007149,sp_ec,sp_ec
bgv007150,sp_ec,sp_ec
bgv007151,sp_ec,sp_ec
bgv007152,sp_ec,sp_ec
bgv007155,sp_ec,sp_montane
bgv007156,sp_ec,sp_ec
bgv007158,sp_ec,sp_ec
bgv007161,sp_ec,sp_ec
bgv007163,sp_ec,sp_ec
bgv007168,sp_3,
bgv007169,sp_ec,sp_ec
bgv007181,sp_ec,sp_ec
bgv007183,sp_ec,sp_ec
bgv007184,sp_ec,sp_ec
bgv007188,sp_ec,sp_ec
bgv007189,sp_ec,sp_ec
bgv007191,sp_3,
bgv007194,sp_ec,sp_ec
bgv007198,sp_ec,sp_ec
bgv007200,sp_ec,sp_ec
bgv007201,sp_ec,sp_ec
bgv007202,sp_ec,sp_ec
bgv007203,sp_3,
bgv007208,sp_ec,slc_ec
bgv007210,sp_ec,slc_ec
bgv007214,sp_ec,sp_ec
bgv007215,sp_ec,sp_ec
